raw_dir,canonical_system,tier,evidence,n_utts,excluded_reason
Kitten-TTS-Nano-0.2,Kitten-TTS,T2,meta.architecture='Kitten-TTS'==Kitten-TTS,1000,
KugelAudio,KugelAudio,T1,raw_dir==KugelAudio,9000,
Kyutai-TTS,Kyutai-TTS,T1,raw_dir==Kyutai-TTS,2000,
LEMAS-TTS,F5-TTS,T2,meta.architecture='F5-TTS'==F5-TTS,10000,
LFM2.5-Audio,LFM2.5-Audio,T1,raw_dir==LFM2.5-Audio,1000,
Llasa-1B,Llasa,T2,meta.architecture='Llasa'==Llasa,1000,
Llasa-1B-Multilingual,Llasa,T5,family table (exact),9000,
Llasa-3B,Llasa,T2,meta.architecture='Llasa'==Llasa,1000,
Llasa-8B,Llasa,T2,meta.architecture='Llasa'==Llasa,1000,
LongCat-AudioDiT,LongCat-AudioDiT,T1,raw_dir==LongCat-AudioDiT,2000,
LuxTTS,LuxTTS,T1,raw_dir==LuxTTS,1000,
MOSS-TTS-1.7B,MOSS-TTS,T2,meta.architecture='MOSS-TTS'==MOSS-TTS,10000,
MOSS-TTS-8B,MOSS-TTS,T2,meta.architecture='MOSS-TTS'==MOSS-TTS,9000,
Mars5,Mars5,T1,raw_dir==Mars5,1000,
Marvis-TTS,Sesame-CSM-1B,T2,meta.architecture='Sesame CSM-1B'==Sesame-CSM-1B,1000,
MatchaTTS,MatchaTTS,T1,raw_dir==MatchaTTS,1000,
Maya1 TTS,Maya1-TTS,T1,raw_dir==Maya1-TTS,1000,
MegaTTS3,MegaTTS3,T1,raw_dir==MegaTTS3,2000,
MeloTTS,MeloTTS,T1,raw_dir==MeloTTS,1000,
Metavoice-1B,Metavoice-1B,T1,raw_dir==Metavoice-1B,1000,
Microsoft VibeVoice 1.5B,VibeVoice,T4,meta.architecture='Microsoft VibeVoice'==TableIV label -> VibeVoice,2000,
Microsoft VibeVoice Large,VibeVoice,T4,meta.architecture='Microsoft VibeVoice'==TableIV label -> VibeVoice,2000,
MingTTS,Ming-omni-tts,T2,meta.architecture='Ming-omni-tts'==Ming-omni-tts,2000,
MiniCPM-o-2.6,MiniCPM-o-2.6,T1,raw_dir==MiniCPM-o-2.6,2000,
MiniMax-Speech-2.8-Turbo,MiniMax-Speech,T2,meta.architecture='MiniMax-Speech'==MiniMax-Speech,1000,
MiraTTS,MiraTTS,T1,raw_dir==MiraTTS,1000,
NVidia Magpie-TTS Multilingual,Magpie-TTS,T4,meta.architecture='NVidia Magpie-TTS'==TableIV label -> Magpie-TTS,2000,
Nari Dia-1.6B,Nari-Dia,T3,raw_dir==TableIV label -> Nari-Dia,1000,
Nari Dia2,Nari-Dia,T3,raw_dir==TableIV label -> Nari-Dia,1000,
NeuTTS-Air,NeuTTS,T3,raw_dir==TableIV label -> NeuTTS,1000,
NeuTTS-Nano,NeuTTS,T2,meta.architecture='NeuTTS'==NeuTTS,1000,
OmniVoice,OmniVoice,T1,raw_dir==OmniVoice,27000,
OpenAI TTS-1 HD,OpenAI-TTS-1-HD,T1,raw_dir==OpenAI-TTS-1-HD,7000,
OpenVoiceV2,OpenVoiceV2,T1,raw_dir==OpenVoiceV2,4000,
Openaudio-S1-Mini,OpenAudio-S1-Mini,T1,raw_dir==OpenAudio-S1-Mini,3000,
OuteTTS,OuteTTS,T1,raw_dir==OuteTTS,8000,
PocketTTS,PocketTTS,T1,raw_dir==PocketTTS,1000,
Qwen2.5-Omni,Qwen2.5-Omni,T1,raw_dir==Qwen2.5-Omni,1000,
Qwen3-TTS-12Hz-0.6B-Base,Qwen3-Omni,T2,meta.architecture='Qwen3-Omni'==Qwen3-Omni,9000,
Qwen3-TTS-12Hz-1.7B-Base,Qwen3-Omni,T2,meta.architecture='Qwen3-Omni'==Qwen3-Omni,9000,
RVC,EXCLUDED,T1,raw_dir==RVC; excluded,8000,"voice-conversion system, not TTS (methodology 1.3)"
Raon-OpenTTS,Raon-OpenTTS,T1,raw_dir==Raon-OpenTTS,1000,
"Resemble.ai (April 12th, 2025)",Resemble-AI,T3,raw_dir==TableIV label -> Resemble-AI,5000,
Ringg Squirrel TTS v1.0,Ringg-Squirrel-TTS,T2,meta.architecture='Ringg Squirrel TTS'==Ringg-Squirrel-TTS,2000,
Soprano11,SopranoTTS,T3,raw_dir==TableIV label -> SopranoTTS,1000,
SopranoTTS,SopranoTTS,T1,raw_dir==SopranoTTS,1000,
SoulX-Podcast,SoulX-Podcast,T1,raw_dir==SoulX-Podcast,1000,
Spark-TTS-0.5B,Spark-TTS,T5,family table (exact),1000,
Step-Audio-EditX,Step-Audio-EditX,T1,raw_dir==Step-Audio-EditX,2000,
Supertonic,Supertonic,T1,raw_dir==Supertonic,1000,
SvaraTTS v1,SvaraTTS,T3,raw_dir==TableIV label -> SvaraTTS,1000,
TADA-1B,TADA,T2,meta.architecture='TADA'==TADA,1000,
TADA-3B-ML,TADA,T2,meta.architecture='TADA'==TADA,1000,
Tsukasa_Speech,StyleTTS2,T2,meta.architecture='StyleTTS 2'==StyleTTS2,1000,
VITS2-Claude,VITS2,T2,meta.architecture='VITS2'==VITS2,1000,
Veena,Veena,T1,raw_dir==Veena,2000,
VieNeu-TTS,VieNeu-TTS,T1,raw_dir==VieNeu-TTS,1000,
VoXtream2,VoXtream,T2,meta.architecture='VoXtream'==VoXtream,1000,
VoiceCore,VoiceCore,T1,raw_dir==VoiceCore,1000,
VoxCPM-0.5B,VoxCPM,T2,meta.architecture='VoxCPM'==VoxCPM,2000,
VoxCPM-1.5,VoxCPM,T3,raw_dir==TableIV label -> VoxCPM,2000,
VoxCPM2,VoxCPM,T2,meta.architecture='VoxCPM'==VoxCPM,14000,
Voxtral,EXCLUDED,T1,raw_dir==Voxtral; excluded,9000,"audio understanding model, no speech-generation stage (methodology 1.3)"
Voxtream,VoXtream,T1,raw_dir==VoXtream,1000,
WhisperSpeech,WhisperSpeech,T1,raw_dir==WhisperSpeech,2000,
YarnGPT,YarnGPT,T1,raw_dir==YarnGPT,3000,
ZipVoice,ZipVoice,T1,raw_dir==ZipVoice,2000,
e2-tts,E2-TTS,T1,raw_dir==E2-TTS,1000,
f5-tts,F5-TTS,T1,raw_dir==F5-TTS,1000,
facebook_mms-tts-deu,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-eng,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-fin,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-fra,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-hun,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-nld,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-ron,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-rus,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-swe,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
facebook_mms-tts-ukr,VITS-MMS,T5,family table (^facebook_mms-tts-.+$),1000,
griffin_lim,EXCLUDED,T3,raw_dir==TableIV label -> nan; excluded,8000,"phase-reconstruction vocoder, not a TTS system (methodology 1.2)"
kokoro,Kokoro,T1,raw_dir==Kokoro,5000,
microsoft_speecht5_tts,SpeechT5,T5,family table (exact),1000,
minimax_speech-02-turbo,MiniMax-Speech,T4,meta.architecture='minimax/speech-02'==TableIV label -> MiniMax-Speech,3000,
minimax_speech-2.6-hd,MiniMax-Speech,T4,meta.architecture='minimax/speech-02'==TableIV label -> MiniMax-Speech,1000,
optispeech,Optispeech,T1,raw_dir==Optispeech,1000,
orpheus-tts-0.1-finetune,Orpheus-TTS,T5,family table (exact),1000,
parler_tts_large_v1,Parler-TTS,T5,family table (exact),1000,
parler_tts_mini_v0.1,Parler-TTS,T5,family table (exact),1000,
parler_tts_mini_v1,Parler-TTS,T5,family table (exact),1000,
sesame_csm,Sesame-CSM-1B,T5,family table (exact),1000,
suno_bark,Bark,T5,family table (exact),1000,
suno_bark-small,Bark,T5,family table (exact),1000,
tts_models_bg_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_bn_custom_vits-female,VITS,T5,family table (exact),1000,
tts_models_bn_custom_vits-male,VITS,T5,family table (exact),1000,
tts_models_cs_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_da_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_de_css10_vits-neon,VITS,T4,meta.architecture='vits-neon'==TableIV label -> VITS,1000,
tts_models_de_thorsten_tacotron2-DCA,Tacotron2,T5,family table (^tts_models_.*_tacotron2-.+$),1000,
tts_models_de_thorsten_tacotron2-DDC,Tacotron2,T5,family table (^tts_models_.*_tacotron2-.+$),1000,
tts_models_de_thorsten_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_el_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_en_blizzard2013_capacitron-t2-c50,Capacitron,T5,family table (exact),1000,
tts_models_en_ek1_tacotron2,Tacotron2,T2,meta.architecture='tacotron2'==Tacotron2,1000,
tts_models_en_jenny_jenny,Jenny,T2,meta.architecture='jenny'==Jenny,1000,
tts_models_en_ljspeech_fast_pitch,FastPitch,T2,meta.architecture='fast_pitch'==FastPitch,1000,
tts_models_en_ljspeech_glow-tts,GlowTTS,T2,meta.architecture='glow-tts'==GlowTTS,1000,
tts_models_en_ljspeech_neural_hmm,NeuralHMM,T2,meta.architecture='neural_hmm'==NeuralHMM,1000,
tts_models_en_ljspeech_overflow,Overflow,T2,meta.architecture='overflow'==Overflow,1000,
tts_models_en_ljspeech_speedy-speech,SpeedySpeech,T2,meta.architecture='speedy-speech'==SpeedySpeech,1000,
tts_models_en_ljspeech_tacotron2-DCA,Tacotron2,T5,family table (^tts_models_.*_tacotron2-.+$),1000,
tts_models_en_ljspeech_tacotron2-DDC,Tacotron2,T5,family table (^tts_models_.*_tacotron2-.+$),1000,
tts_models_en_ljspeech_tacotron2-DDC_ph,Tacotron2,T5,family table (^tts_models_.*_tacotron2-.+$),1000,
tts_models_en_ljspeech_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_en_ljspeech_vits--neon,VITS,T4,meta.architecture='vits--neon'==TableIV label -> VITS,1000,
tts_models_en_multi-dataset_tortoise-v2,Tortoise,T5,family table (exact),1000,
tts_models_en_sam_tacotron-DDC,Tacotron,T5,family table (exact),1000,
tts_models_es_css10_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_es_mai_tacotron2-DDC,Tacotron2,T5,family table (^tts_models_.*_tacotron2-.+$),1000,
tts_models_et_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_fa_custom_glow-tts,GlowTTS,T2,meta.architecture='glow-tts'==GlowTTS,1000,
tts_models_fi_css10_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_fr_css10_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_fr_mai_tacotron2-DDC,Tacotron2,T5,family table (^tts_models_.*_tacotron2-.+$),1000,
tts_models_ga_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_hr_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_hu_css10_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_it_mai_female_glow-tts,GlowTTS,T2,meta.architecture='glow-tts'==GlowTTS,1000,
tts_models_it_mai_female_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_it_mai_male_glow-tts,GlowTTS,T2,meta.architecture='glow-tts'==GlowTTS,1000,
tts_models_it_mai_male_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_lt_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_lv_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_mt_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_multilingual_multi-dataset_bark,Bark,T2,meta.architecture='bark'==Bark,32000,
tts_models_multilingual_multi-dataset_xtts_v1.1,XTTS,T4,meta.architecture='xtts_v1.1'==TableIV label -> XTTS,14000,
tts_models_multilingual_multi-dataset_xtts_v2,XTTS,T4,meta.architecture='xtts_v2'==TableIV label -> XTTS,17000,
tts_models_pl_mai_female_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_pt_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_ro_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_sk_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_sl_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_sv_cv_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_tr_common-voice_glow-tts,GlowTTS,T2,meta.architecture='glow-tts'==GlowTTS,1000,
tts_models_uk_mai_glow-tts,GlowTTS,T2,meta.architecture='glow-tts'==GlowTTS,1000,
tts_models_uk_mai_vits,VITS,T2,meta.architecture='vits'==VITS,1000,
tts_models_zh-CN_baker_tacotron2-DDC-GST,Tacotron2,T5,family table (^tts_models_.*_tacotron2-.+$),1000,
vixTTS,VixTTS,T1,raw_dir==VixTTS,2000,
zonosTTS-v0.1,Zonos,T3,raw_dir==TableIV label -> Zonos,2000,
